1926 2008
1926: 62 226
1927: 146 411
1928: 78 260
1929: 78 322
1930: 112 341
1931: 138 389
1932: 77 241
1933: 70 252
1934: 54 207
1935: 127 368
1936: 150 399
1937: 59 219
1938: 78 258
1939: 63 199
1940: 111 315
1941: 85 240
1942: 112 355
1943: 75 256
1944: 91 271
1945: 114 353
1946: 65 230
1947: 123 314
1948: 117 345
1949: 147 408
1950: 55 219
1951: 103 309
1952: 76 242
1953: 89 282
1954: 80 241
1955: 75 271
1956: 125 359
1957: 74 242
1958: 120 354
1959: 62 215
1960: 144 400
1961: 87 264
1962: 60 250
1963: 64 235
1964: 66 199
1965: 111 331
1966: 72 247
1967: 122 358
1968: 82 269
1969: 116 377
1970: 148 416
1971: 105 350
1972: 66 238
1973: 106 323
1974: 90 291
1975: 145 393
1976: 110 353
1977: 140 402
1978: 92 297
1979: 103 306
1980: 150 416
1981: 75 253
1982: 101 320
1983: 74 298
1984: 104 317
1985: 83 322
1986: 102 277
1987: 69 237
1988: 119 353
1989: 74 283
1990: 94 326
1991: 55 213
1992: 135 418
1993: 51 204
1994: 137 385
1995: 98 268
1996: 139 404
1997: 139 401
1998: 146 390
1999: 97 357
2000: 85 203
2001: 148 415
2002: 97 302
2003: 108 400
2004: 110 327
2005: 88 279
2006: 55 266
2007: 142 390
2008: 126 338
